QN-2015-0363 ac:2015-09-14 fr:2015-10-16 er:f
QN-2015-0470 ac:2015-09-17 fr:2015-10-23 er:t
QN-2015-0512 ac:2015-09-17 fr:2015-10-29 er:f
QN-2015-0284 ac:2015-09-17 er:f
QN-2015-0285 ac:2015-09-21 er:f
QN-2015-0403 ac:2015-09-22 fr:2015-10-30 er:f
QN-2015-0399 ac:2015-09-23 fr:2015-11-03 er:f
QN-2015-0344 ac:2015-09-24 er:f
QN-2015-0494 ac:2015-09-29 er:f
QN-2015-0543 ac:2015-09-30 er:f
QN-2015-0432 ac:2015-10-05 er:f
QN-2015-0621 ac:2015-10-06 er:f
QN-2015-0402 ac:2015-10-06 er:f
QN-2015-0472 ac:2015-10-08 er:f
QN-2015-0423 ac:2015-10-13 er:f
QN-2015-0511 ac:2015-10-13 er:f
QN-2015-0419 ac:2015-10-14 er:f
QN-2015-0467 ac:2015-10-20 er:f
AR-2015-0470 ac:2015-09-17 er:t
QN-2015-0515 ac:2015-09-16 fr:2015-10-26 er:t
